Ward,Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
30,15,498,408,81.93%,77,15.46%,6,1.20%,1,0.20%,0,0%,6,1.20%
30,16,352,259,73.58%,90,25.57%,1,0.28%,0,0%,0,0%,2,0.57%
30,17,616,448,72.73%,157,25.49%,3,0.49%,0,0%,0,0%,8,1.30%
30,18,698,613,87.82%,73,10.46%,3,0.43%,2,0.29%,0,0%,7,1.00%
30,19,591,480,81.22%,104,17.60%,2,0.34%,4,0.68%,0,0%,1,0.17%
30,20,636,501,78.77%,127,19.97%,4,0.63%,0,0%,0,0%,4,0.63%
30,21,442,291,65.84%,147,33.26%,0,0%,2,0.45%,0,0%,2,0.45%
30,22,815,691,84.79%,100,12.27%,9,1.10%,3,0.37%,3,0.37%,9,1.10%
30,23,712,571,80.20%,119,16.71%,10,1.40%,4,0.56%,0,0%,8,1.12%
30,24,843,709,84.10%,119,14.12%,4,0.47%,2,0.24%,1,0.12%,8,0.95%
30,25,846,696,82.27%,125,14.78%,10,1.18%,5,0.59%,1,0.12%,9,1.06%
30,26,363,281,77.41%,77,21.21%,2,0.55%,1,0.28%,0,0%,2,0.55%
30,27,434,327,75.35%,105,24.19%,0,0%,1,0.23%,0,0%,1,0.23%
30,28,565,492,87.08%,64,11.33%,3,0.53%,3,0.53%,0,0%,3,0.53%
30,29,419,334,79.71%,74,17.66%,2,0.48%,2,0.48%,4,0.95%,3,0.72%
30,30,251,207,82.47%,42,16.73%,2,0.80%,0,0%,0,0%,0,0%
30,31,375,297,79.20%,75,20.00%,1,0.27%,0,0%,0,0%,2,0.53%
30,32,468,406,86.75%,58,12.39%,1,0.21%,1,0.21%,0,0%,2,0.43%
31,1,371,299,80.59%,66,17.79%,2,0.54%,0,0%,0,0%,4,1.08%
31,2,341,288,84.46%,51,14.96%,0,0%,0,0%,0,0%,2,0.59%
31,3,390,282,72.31%,100,25.64%,5,1.28%,0,0%,1,0.26%,2,0.51%
31,4,484,431,89.05%,44,9.09%,3,0.62%,3,0.62%,1,0.21%,2,0.41%
31,5,391,304,77.75%,76,19.44%,3,0.77%,2,0.51%,1,0.26%,5,1.28%
31,6,280,229,81.79%,46,16.43%,0,0%,0,0%,3,1.07%,2,0.71%
31,7,567,512,90.30%,45,7.94%,3,0.53%,0,0%,2,0.35%,5,0.88%
31,8,342,278,81.29%,59,17.25%,3,0.88%,1,0.29%,1,0.29%,0,0%
31,9,428,351,82.01%,71,16.59%,4,0.93%,1,0.23%,0,0%,1,0.23%
31,10,451,387,85.81%,61,13.53%,0,0%,0,0%,1,0.22%,2,0.44%
31,11,344,266,77.33%,74,21.51%,4,1.16%,0,0%,0,0%,0,0%
31,12,349,250,71.63%,92,26.36%,2,0.57%,0,0%,2,0.57%,3,0.86%
31,13,419,341,81.38%,70,16.71%,2,0.48%,3,0.72%,2,0.48%,1,0.24%
31,14,384,299,77.86%,84,21.88%,0,0%,1,0.26%,0,0%,0,0%
31,15,407,305,74.94%,99,24.32%,1,0.25%,0,0%,0,0%,2,0.49%
31,16,464,412,88.79%,44,9.48%,2,0.43%,1,0.22%,0,0%,5,1.08%
31,17,381,290,76.12%,81,21.26%,2,0.52%,6,1.57%,0,0%,2,0.52%
31,18,372,302,81.18%,63,16.94%,2,0.54%,1,0.27%,4,1.08%,0,0%
31,19,365,273,74.79%,86,23.56%,1,0.27%,3,0.82%,1,0.27%,1,0.27%
31,20,347,264,76.08%,78,22.48%,1,0.29%,2,0.58%,1,0.29%,1,0.29%
31,21,357,270,75.63%,83,23.25%,1,0.28%,3,0.84%,0,0%,0,0%
31,22,339,289,85.25%,45,13.27%,2,0.59%,0,0%,0,0%,3,0.88%
31,23,407,335,82.31%,64,15.72%,2,0.49%,3,0.74%,1,0.25%,2,0.49%
31,24,417,337,80.82%,73,17.51%,1,0.24%,1,0.24%,1,0.24%,4,0.96%
31,25,384,294,76.56%,84,21.88%,1,0.26%,2,0.52%,1,0.26%,2,0.52%
31,26,412,316,76.70%,90,21.84%,2,0.49%,3,0.73%,0,0%,1,0.24%
31,27,452,338,74.78%,105,23.23%,3,0.66%,1,0.22%,2,0.44%,3,0.66%
31,28,344,268,77.91%,71,20.64%,3,0.87%,2,0.58%,0,0%,0,0%
31,29,376,298,79.26%,73,19.41%,0,0%,3,0.80%,0,0%,2,0.53%
31,30,315,263,83.49%,48,15.24%,0,0%,1,0.32%,0,0%,3,0.95%
31,31,357,266,74.51%,87,24.37%,0,0%,0,0%,1,0.28%,3,0.84%
31,32,326,254,77.91%,66,20.25%,5,1.53%,0,0%,1,0.31%,0,0%
31,33,393,303,77.10%,83,21.12%,6,1.53%,1,0.25%,0,0%,0,0%
31,34,408,307,75.25%,92,22.55%,6,1.47%,1,0.25%,0,0%,2,0.49%
31,35,463,370,79.91%,86,18.57%,5,1.08%,2,0.43%,0,0%,0,0%
31,36,414,329,79.47%,80,19.32%,3,0.72%,0,0%,1,0.24%,1,0.24%
31,37,376,312,82.98%,60,15.96%,3,0.80%,0,0%,0,0%,1,0.27%
31,38,359,296,82.45%,57,15.88%,6,1.67%,0,0%,0,0%,0,0%
31,39,437,378,86.50%,49,11.21%,2,0.46%,5,1.14%,1,0.23%,2,0.46%
31,40,439,374,85.19%,49,11.16%,5,1.14%,6,1.37%,0,0%,5,1.14%
31,41,370,302,81.62%,63,17.03%,1,0.27%,2,0.54%,0,0%,2,0.54%
32,1,909,758,83.39%,131,14.41%,6,0.66%,2,0.22%,0,0%,12,1.32%
32,2,823,710,86.27%,95,11.54%,1,0.12%,0,0%,1,0.12%,16,1.94%
32,3,740,662,89.46%,63,8.51%,5,0.68%,2,0.27%,3,0.41%,5,0.68%
32,4,678,598,88.20%,70,10.32%,3,0.44%,1,0.15%,0,0%,6,0.88%
32,5,767,684,89.18%,70,9.13%,3,0.39%,3,0.39%,0,0%,7,0.91%
32,6,871,789,90.59%,65,7.46%,3,0.34%,0,0%,0,0%,14,1.61%
32,7,836,722,86.36%,92,11.00%,4,0.48%,1,0.12%,1,0.12%,16,1.91%
32,8,957,779,81.40%,149,15.57%,2,0.21%,1,0.10%,5,0.52%,21,2.19%
32,9,764,654,85.60%,92,12.04%,4,0.52%,1,0.13%,2,0.26%,11,1.44%
32,10,862,686,79.58%,148,17.17%,6,0.70%,1,0.12%,1,0.12%,20,2.32%
32,11,615,565,91.87%,38,6.18%,2,0.33%,5,0.81%,0,0%,5,0.81%
32,12,495,443,89.49%,32,6.46%,9,1.82%,6,1.21%,3,0.61%,2,0.40%
32,13,866,691,79.79%,149,17.21%,3,0.35%,1,0.12%,3,0.35%,19,2.19%
32,14,733,669,91.27%,50,6.82%,3,0.41%,4,0.55%,2,0.27%,5,0.68%
