Ward,Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
41,13,758,353,46.57%,392,51.72%,2,0.26%,1,0.13%,1,0.13%,9,1.19%
41,14,666,431,64.71%,218,32.73%,3,0.45%,0,0%,1,0.15%,13,1.95%
41,15,785,444,56.56%,324,41.27%,4,0.51%,1,0.13%,2,0.25%,10,1.27%
41,16,601,310,51.58%,283,47.09%,5,0.83%,0,0%,1,0.17%,2,0.33%
41,17,562,316,56.23%,241,42.88%,2,0.36%,0,0%,1,0.18%,2,0.36%
41,18,584,314,53.77%,264,45.21%,2,0.34%,1,0.17%,1,0.17%,2,0.34%
41,19,681,433,63.58%,222,32.60%,8,1.17%,2,0.29%,2,0.29%,14,2.06%
41,20,462,232,50.22%,219,47.40%,2,0.43%,0,0%,0,0%,9,1.95%
41,21,611,325,53.19%,280,45.83%,0,0%,0,0%,0,0%,6,0.98%
41,22,678,344,50.74%,326,48.08%,1,0.15%,0,0%,1,0.15%,6,0.88%
41,23,671,244,36.36%,420,62.59%,1,0.15%,0,0%,3,0.45%,3,0.45%
41,24,607,264,43.49%,328,54.04%,3,0.49%,1,0.16%,3,0.49%,8,1.32%
41,25,670,329,49.10%,332,49.55%,5,0.75%,1,0.15%,0,0%,3,0.45%
41,26,539,286,53.06%,239,44.34%,0,0%,0,0%,1,0.19%,13,2.41%
41,27,646,269,41.64%,370,57.28%,2,0.31%,1,0.15%,0,0%,4,0.62%
41,28,714,423,59.24%,281,39.36%,4,0.56%,1,0.14%,1,0.14%,4,0.56%
41,29,581,282,48.54%,294,50.60%,2,0.34%,0,0%,0,0%,3,0.52%
41,30,600,340,56.67%,255,42.50%,1,0.17%,0,0%,0,0%,4,0.67%
41,31,580,344,59.31%,227,39.14%,5,0.86%,0,0%,0,0%,4,0.69%
41,32,532,268,50.38%,256,48.12%,3,0.56%,0,0%,0,0%,5,0.94%
41,33,594,287,48.32%,301,50.67%,3,0.51%,0,0%,0,0%,3,0.51%
41,34,583,278,47.68%,298,51.11%,2,0.34%,0,0%,2,0.34%,3,0.51%
41,35,765,399,52.16%,355,46.41%,2,0.26%,0,0%,0,0%,9,1.18%
41,36,624,325,52.08%,286,45.83%,3,0.48%,0,0%,3,0.48%,7,1.12%
41,37,692,351,50.72%,329,47.54%,5,0.72%,0,0%,0,0%,7,1.01%
41,38,624,321,51.44%,293,46.96%,3,0.48%,1,0.16%,1,0.16%,5,0.80%
41,39,659,353,53.57%,292,44.31%,5,0.76%,0,0%,1,0.15%,8,1.21%
41,40,705,302,42.84%,396,56.17%,1,0.14%,1,0.14%,0,0%,5,0.71%
41,41,668,331,49.55%,330,49.40%,2,0.30%,0,0%,0,0%,5,0.75%
41,42,650,306,47.08%,333,51.23%,1,0.15%,0,0%,3,0.46%,7,1.08%
41,43,660,341,51.67%,311,47.12%,3,0.45%,1,0.15%,0,0%,4,0.61%
41,44,647,285,44.05%,345,53.32%,8,1.24%,1,0.15%,1,0.15%,7,1.08%
41,45,631,325,51.51%,301,47.70%,4,0.63%,1,0.16%,0,0%,0,0%
41,46,625,331,52.96%,284,45.44%,3,0.48%,0,0%,2,0.32%,5,0.80%
41,47,702,392,55.84%,299,42.59%,3,0.43%,0,0%,0,0%,8,1.14%
42,1,632,452,71.52%,174,27.53%,2,0.32%,0,0%,0,0%,4,0.63%
42,2,944,749,79.34%,179,18.96%,2,0.21%,1,0.11%,1,0.11%,12,1.27%
42,3,752,621,82.58%,119,15.82%,2,0.27%,0,0%,0,0%,10,1.33%
42,4,"1,860",1434,77.10%,404,21.72%,4,0.22%,1,0.05%,2,0.11%,15,0.81%
42,5,644,503,78.11%,127,19.72%,1,0.16%,0,0%,0,0%,13,2.02%
42,6,671,488,72.73%,171,25.48%,5,0.75%,1,0.15%,0,0%,6,0.89%
42,7,883,671,75.99%,197,22.31%,3,0.34%,1,0.11%,1,0.11%,10,1.13%
42,8,618,488,78.96%,124,20.06%,2,0.32%,0,0%,0,0%,4,0.65%
42,9,961,788,82.00%,157,16.34%,5,0.52%,0,0%,2,0.21%,9,0.94%
42,10,"1,018",783,76.92%,209,20.53%,8,0.79%,6,0.59%,0,0%,12,1.18%
42,11,502,354,70.52%,139,27.69%,2,0.40%,0,0%,1,0.20%,6,1.20%
42,12,630,460,73.02%,160,25.40%,1,0.16%,2,0.32%,0,0%,7,1.11%
42,13,564,396,70.21%,158,28.01%,3,0.53%,3,0.53%,0,0%,4,0.71%
42,14,"1,054",802,76.09%,223,21.16%,3,0.28%,0,0%,3,0.28%,23,2.18%
42,15,"1,086",800,73.66%,271,24.95%,3,0.28%,0,0%,1,0.09%,11,1.01%
42,16,777,621,79.92%,137,17.63%,3,0.39%,1,0.13%,3,0.39%,12,1.54%
42,17,"1,253",906,72.31%,323,25.78%,5,0.40%,0,0%,1,0.08%,18,1.44%
42,18,"1,003",790,78.76%,193,19.24%,6,0.60%,0,0%,0,0%,14,1.40%
42,19,973,715,73.48%,244,25.08%,1,0.10%,0,0%,1,0.10%,12,1.23%
42,20,"1,006",739,73.46%,247,24.55%,1,0.10%,0,0%,1,0.10%,18,1.79%
42,21,929,790,85.04%,128,13.78%,3,0.32%,0,0%,0,0%,8,0.86%
42,22,433,318,73.44%,108,24.94%,0,0%,0,0%,1,0.23%,6,1.39%
42,23,865,615,71.10%,241,27.86%,2,0.23%,0,0%,1,0.12%,6,0.69%
42,24,717,534,74.48%,169,23.57%,5,0.70%,1,0.14%,0,0%,8,1.12%
42,25,899,642,71.41%,245,27.25%,2,0.22%,4,0.44%,0,0%,6,0.67%
42,26,"1,290",961,74.50%,315,24.42%,2,0.16%,0,0%,3,0.23%,9,0.70%
42,27,517,388,75.05%,121,23.40%,2,0.39%,2,0.39%,0,0%,4,0.77%
42,28,740,560,75.68%,174,23.51%,1,0.14%,0,0%,0,0%,5,0.68%
42,29,904,663,73.34%,226,25.00%,2,0.22%,0,0%,0,0%,13,1.44%
42,30,555,423,76.22%,128,23.06%,0,0%,0,0%,0,0%,4,0.72%
42,31,928,692,74.57%,219,23.60%,3,0.32%,0,0%,3,0.32%,11,1.19%
42,32,938,693,73.88%,226,24.09%,3,0.32%,1,0.11%,0,0%,15,1.60%
42,33,808,662,81.93%,128,15.84%,4,0.50%,1,0.12%,3,0.37%,10,1.24%
42,34,616,451,73.21%,153,24.84%,6,0.97%,0,0%,0,0%,6,0.97%
42,35,946,755,79.81%,174,18.39%,2,0.21%,0,0%,0,0%,15,1.59%
42,36,"1,357",1064,78.41%,263,19.38%,3,0.22%,0,0%,0,0%,27,1.99%
42,37,605,447,73.88%,142,23.47%,0,0%,0,0%,2,0.33%,14,2.31%
42,38,779,567,72.79%,195,25.03%,2,0.26%,1,0.13%,0,0%,14,1.80%
42,39,"1,423",1101,77.37%,302,21.22%,4,0.28%,0,0%,1,0.07%,15,1.05%
42,40,"1,127",886,78.62%,223,19.79%,3,0.27%,0,0%,0,0%,15,1.33%
42,41,774,629,81.27%,135,17.44%,2,0.26%,0,0%,0,0%,8,1.03%
42,42,"1,326",1088,82.05%,215,16.21%,5,0.38%,1,0.08%,0,0%,17,1.28%
43,1,375,307,81.87%,61,16.27%,1,0.27%,0,0%,0,0%,6,1.60%
43,2,775,646,83.35%,117,15.10%,3,0.39%,1,0.13%,0,0%,8,1.03%
43,3,702,557,79.34%,134,19.09%,2,0.28%,1,0.14%,1,0.14%,7,1.00%
43,4,918,721,78.54%,180,19.61%,3,0.33%,0,0%,0,0%,14,1.53%
43,5,662,555,83.84%,96,14.50%,1,0.15%,0,0%,0,0%,10,1.51%
43,6,558,476,85.30%,68,12.19%,1,0.18%,0,0%,0,0%,13,2.33%
43,7,470,389,82.77%,71,15.11%,2,0.43%,1,0.21%,0,0%,7,1.49%
43,8,531,425,80.04%,102,19.21%,3,0.56%,0,0%,0,0%,1,0.19%
43,9,713,581,81.49%,120,16.83%,1,0.14%,1,0.14%,0,0%,10,1.40%
43,10,881,727,82.52%,132,14.98%,1,0.11%,0,0%,0,0%,21,2.38%
43,11,678,529,78.02%,137,20.21%,1,0.15%,1,0.15%,2,0.29%,8,1.18%
43,12,468,394,84.19%,69,14.74%,3,0.64%,0,0%,0,0%,2,0.43%
43,13,685,576,84.09%,101,14.74%,1,0.15%,1,0.15%,0,0%,6,0.88%
43,14,685,565,82.48%,105,15.33%,1,0.15%,0,0%,0,0%,14,2.04%
43,15,739,586,79.30%,138,18.67%,3,0.41%,1,0.14%,0,0%,11,1.49%
43,16,"1,022",843,82.49%,156,15.26%,3,0.29%,1,0.10%,2,0.20%,17,1.66%
43,17,551,431,78.22%,109,19.78%,3,0.54%,0,0%,1,0.18%,7,1.27%
43,18,838,679,81.03%,146,17.42%,2,0.24%,0,0%,0,0%,11,1.31%
43,19,716,577,80.59%,128,17.88%,3,0.42%,0,0%,0,0%,8,1.12%
43,20,867,745,85.93%,101,11.65%,2,0.23%,1,0.12%,1,0.12%,17,1.96%
43,21,822,660,80.29%,142,17.27%,5,0.61%,1,0.12%,4,0.49%,10,1.22%
43,22,520,428,82.31%,86,16.54%,1,0.19%,0,0%,0,0%,5,0.96%
43,23,500,408,81.60%,82,16.40%,3,0.60%,0,0%,0,0%,7,1.40%
43,24,550,427,77.64%,109,19.82%,2,0.36%,1,0.18%,1,0.18%,10,1.82%
43,25,604,493,81.62%,104,17.22%,0,0%,0,0%,0,0%,7,1.16%
43,26,434,369,85.02%,57,13.13%,1,0.23%,1,0.23%,0,0%,6,1.38%
43,27,645,515,79.84%,122,18.91%,0,0%,0,0%,0,0%,8,1.24%
43,28,878,695,79.16%,172,19.59%,3,0.34%,1,0.11%,0,0%,7,0.80%
43,29,999,817,81.78%,164,16.42%,0,0%,2,0.20%,1,0.10%,15,1.50%
43,30,717,589,82.15%,115,16.04%,2,0.28%,0,0%,0,0%,11,1.53%
43,31,691,553,80.03%,125,18.09%,5,0.72%,0,0%,0,0%,8,1.16%
43,32,725,606,83.59%,106,14.62%,4,0.55%,0,0%,0,0%,9,1.24%
43,33,714,528,73.95%,177,24.79%,3,0.42%,0,0%,0,0%,6,0.84%
43,34,438,357,81.51%,74,16.89%,1,0.23%,0,0%,0,0%,6,1.37%
43,35,743,563,75.77%,173,23.28%,1,0.13%,0,0%,0,0%,6,0.81%
43,36,472,388,82.20%,78,16.53%,0,0%,1,0.21%,1,0.21%,4,0.85%
43,37,797,671,84.19%,116,14.55%,2,0.25%,0,0%,2,0.25%,6,0.75%
43,38,547,414,75.69%,124,22.67%,2,0.37%,0,0%,0,0%,7,1.28%
43,39,574,443,77.18%,117,20.38%,5,0.87%,1,0.17%,0,0%,8,1.39%
43,40,531,448,84.37%,73,13.75%,5,0.94%,0,0%,2,0.38%,3,0.56%
43,41,864,722,83.56%,125,14.47%,3,0.35%,1,0.12%,0,0%,13,1.50%
43,42,692,568,82.08%,109,15.75%,3,0.43%,0,0%,1,0.14%,11,1.59%
43,43,756,564,74.60%,177,23.41%,1,0.13%,1,0.13%,1,0.13%,12,1.59%
43,44,714,580,81.23%,119,16.67%,3,0.42%,2,0.28%,0,0%,10,1.40%
43,45,410,335,81.71%,69,16.83%,1,0.24%,0,0%,0,0%,5,1.22%
43,46,462,400,86.58%,57,12.34%,0,0%,0,0%,1,0.22%,4,0.87%
44,1,"1,106",977,88.34%,111,10.04%,7,0.63%,1,0.09%,0,0%,10,0.90%
44,2,801,674,84.14%,105,13.11%,3,0.37%,0,0%,2,0.25%,17,2.12%
44,3,411,350,85.16%,59,14.36%,0,0%,0,0%,0,0%,2,0.49%
44,4,615,529,86.02%,77,12.52%,1,0.16%,0,0%,2,0.33%,6,0.98%
44,5,747,664,88.89%,69,9.24%,0,0%,2,0.27%,1,0.13%,11,1.47%
44,6,995,867,87.14%,104,10.45%,6,0.60%,2,0.20%,0,0%,16,1.61%
44,7,502,393,78.29%,100,19.92%,3,0.60%,0,0%,0,0%,6,1.20%
44,8,"1,025",912,88.98%,92,8.98%,7,0.68%,1,0.10%,0,0%,13,1.27%
44,9,785,666,84.84%,103,13.12%,1,0.13%,1,0.13%,1,0.13%,13,1.66%
44,10,819,704,85.96%,90,10.99%,6,0.73%,1,0.12%,0,0%,18,2.20%
44,11,865,724,83.70%,127,14.68%,4,0.46%,0,0%,1,0.12%,9,1.04%
44,12,781,658,84.25%,112,14.34%,1,0.13%,1,0.13%,1,0.13%,8,1.02%
44,13,661,555,83.96%,91,13.77%,3,0.45%,0,0%,1,0.15%,11,1.66%
44,14,721,622,86.27%,84,11.65%,2,0.28%,1,0.14%,1,0.14%,11,1.53%
44,15,694,581,83.72%,105,15.13%,1,0.14%,1,0.14%,1,0.14%,5,0.72%
44,16,874,758,86.73%,100,11.44%,1,0.11%,1,0.11%,2,0.23%,12,1.37%
44,17,984,882,89.63%,87,8.84%,5,0.51%,0,0%,0,0%,10,1.02%
44,18,874,733,83.87%,124,14.19%,4,0.46%,1,0.11%,0,0%,12,1.37%
44,19,884,775,87.67%,101,11.43%,1,0.11%,1,0.11%,1,0.11%,5,0.57%
44,20,912,792,86.84%,97,10.64%,1,0.11%,4,0.44%,2,0.22%,16,1.75%
44,21,892,807,90.47%,66,7.40%,4,0.45%,2,0.22%,1,0.11%,12,1.35%
44,22,714,625,87.54%,79,11.06%,1,0.14%,2,0.28%,0,0%,7,0.98%
44,23,710,632,89.01%,64,9.01%,2,0.28%,2,0.28%,0,0%,10,1.41%
44,24,537,452,84.17%,78,14.53%,4,0.74%,0,0%,0,0%,3,0.56%
44,25,795,705,88.68%,80,10.06%,1,0.13%,0,0%,0,0%,9,1.13%
44,26,916,815,88.97%,84,9.17%,2,0.22%,2,0.22%,0,0%,13,1.42%
44,27,885,758,85.65%,98,11.07%,3,0.34%,0,0%,1,0.11%,25,2.82%
44,28,800,689,86.13%,99,12.38%,3,0.38%,1,0.13%,0,0%,8,1.00%
44,29,887,762,85.91%,108,12.18%,4,0.45%,0,0%,0,0%,13,1.47%
44,30,920,802,87.17%,103,11.20%,3,0.33%,1,0.11%,0,0%,11,1.20%
44,31,685,553,80.73%,109,15.91%,4,0.58%,1,0.15%,0,0%,18,2.63%
44,32,882,731,82.88%,128,14.51%,4,0.45%,2,0.23%,2,0.23%,15,1.70%
44,33,784,719,91.71%,53,6.76%,4,0.51%,2,0.26%,0,0%,6,0.77%
44,34,786,704,89.57%,74,9.41%,2,0.25%,0,0%,2,0.25%,4,0.51%
44,35,864,725,83.91%,123,14.24%,5,0.58%,2,0.23%,0,0%,9,1.04%
44,36,838,731,87.23%,94,11.22%,3,0.36%,0,0%,0,0%,10,1.19%
44,37,821,752,91.60%,60,7.31%,2,0.24%,0,0%,1,0.12%,6,0.73%
44,38,973,778,79.96%,172,17.68%,5,0.51%,2,0.21%,0,0%,16,1.64%
44,39,810,691,85.31%,103,12.72%,2,0.25%,2,0.25%,2,0.25%,10,1.23%
44,40,770,646,83.90%,102,13.25%,3,0.39%,1,0.13%,2,0.26%,16,2.08%
44,41,"1,005",876,87.16%,112,11.14%,6,0.60%,0,0%,0,0%,11,1.09%
45,1,494,427,86.44%,51,10.32%,5,1.01%,3,0.61%,0,0%,8,1.62%
45,2,596,518,86.91%,64,10.74%,4,0.67%,1,0.17%,2,0.34%,7,1.17%
45,3,551,449,81.49%,93,16.88%,3,0.54%,2,0.36%,1,0.18%,3,0.54%
45,4,720,561,77.92%,130,18.06%,14,1.94%,0,0%,3,0.42%,12,1.67%
45,5,629,505,80.29%,112,17.81%,4,0.64%,1,0.16%,0,0%,7,1.11%
45,6,794,649,81.74%,132,16.62%,2,0.25%,0,0%,2,0.25%,9,1.13%
45,7,857,673,78.53%,166,19.37%,9,1.05%,0,0%,1,0.12%,8,0.93%
45,8,620,483,77.90%,128,20.65%,1,0.16%,1,0.16%,4,0.65%,3,0.48%
45,9,616,463,75.16%,143,23.21%,3,0.49%,1,0.16%,1,0.16%,5,0.81%
45,10,623,439,70.47%,173,27.77%,4,0.64%,3,0.48%,2,0.32%,2,0.32%
45,11,467,342,73.23%,118,25.27%,2,0.43%,0,0%,2,0.43%,3,0.64%
45,12,579,416,71.85%,143,24.70%,8,1.38%,2,0.35%,1,0.17%,9,1.55%
45,13,506,388,76.68%,101,19.96%,8,1.58%,2,0.40%,1,0.20%,6,1.19%
45,14,855,642,75.09%,198,23.16%,4,0.47%,3,0.35%,3,0.35%,5,0.58%
45,15,694,544,78.39%,142,20.46%,5,0.72%,0,0%,1,0.14%,2,0.29%
45,16,503,367,72.96%,128,25.45%,2,0.40%,1,0.20%,1,0.20%,4,0.80%
45,17,685,459,67.01%,211,30.80%,1,0.15%,5,0.73%,2,0.29%,7,1.02%
45,18,679,440,64.80%,221,32.55%,5,0.74%,3,0.44%,1,0.15%,9,1.33%
45,19,367,247,67.30%,113,30.79%,3,0.82%,2,0.54%,0,0%,2,0.54%
45,20,440,315,71.59%,113,25.68%,5,1.14%,2,0.45%,1,0.23%,4,0.91%
45,21,558,352,63.08%,204,36.56%,1,0.18%,1,0.18%,0,0%,0,0%
45,22,598,394,65.89%,194,32.44%,4,0.67%,3,0.50%,0,0%,3,0.50%
45,23,586,355,60.58%,217,37.03%,6,1.02%,0,0%,2,0.34%,6,1.02%
45,24,498,288,57.83%,202,40.56%,4,0.80%,1,0.20%,0,0%,3,0.60%
45,25,403,229,56.82%,166,41.19%,5,1.24%,1,0.25%,1,0.25%,1,0.25%
45,26,346,181,52.31%,161,46.53%,0,0%,0,0%,0,0%,4,1.16%
45,27,603,340,56.38%,252,41.79%,2,0.33%,0,0%,0,0%,9,1.49%
45,28,529,332,62.76%,191,36.11%,3,0.57%,1,0.19%,0,0%,2,0.38%
45,29,410,238,58.05%,168,40.98%,1,0.24%,0,0%,1,0.24%,2,0.49%
45,30,568,430,75.70%,128,22.54%,3,0.53%,2,0.35%,2,0.35%,3,0.53%
45,31,495,364,73.54%,124,25.05%,3,0.61%,2,0.40%,0,0%,2,0.40%
45,32,569,392,68.89%,170,29.88%,1,0.18%,0,0%,0,0%,6,1.05%
45,33,425,318,74.82%,103,24.24%,1,0.24%,0,0%,0,0%,3,0.71%
45,34,614,423,68.89%,181,29.48%,4,0.65%,1,0.16%,1,0.16%,4,0.65%
45,35,656,459,69.97%,185,28.20%,3,0.46%,1,0.15%,0,0%,8,1.22%
45,36,633,410,64.77%,211,33.33%,2,0.32%,2,0.32%,1,0.16%,7,1.11%
45,37,598,366,61.20%,218,36.45%,3,0.50%,4,0.67%,0,0%,7,1.17%
45,38,607,403,66.39%,200,32.95%,1,0.16%,0,0%,0,0%,3,0.49%
45,39,602,362,60.13%,231,38.37%,4,0.66%,0,0%,0,0%,5,0.83%
45,40,553,333,60.22%,208,37.61%,5,0.90%,0,0%,1,0.18%,6,1.08%
45,41,552,324,58.70%,217,39.31%,3,0.54%,0,0%,0,0%,8,1.45%
45,42,555,320,57.66%,229,41.26%,4,0.72%,0,0%,0,0%,2,0.36%
45,43,618,321,51.94%,283,45.79%,3,0.49%,1,0.16%,3,0.49%,7,1.13%
45,44,574,322,56.10%,240,41.81%,3,0.52%,0,0%,1,0.17%,8,1.39%
45,45,414,209,50.48%,199,48.07%,1,0.24%,0,0%,0,0%,5,1.21%
45,46,474,250,52.74%,212,44.73%,4,0.84%,1,0.21%,0,0%,7,1.48%
45,47,446,240,53.81%,197,44.17%,4,0.90%,0,0%,1,0.22%,4,0.90%
45,48,513,243,47.37%,258,50.29%,4,0.78%,0,0%,0,0%,8,1.56%
46,1,475,410,86.32%,56,11.79%,3,0.63%,2,0.42%,0,0%,4,0.84%
46,2,598,538,89.97%,51,8.53%,2,0.33%,3,0.50%,0,0%,4,0.67%
46,3,764,666,87.17%,90,11.78%,1,0.13%,1,0.13%,0,0%,6,0.79%
46,4,593,533,89.88%,48,8.09%,3,0.51%,2,0.34%,0,0%,7,1.18%
46,5,843,738,87.54%,87,10.32%,6,0.71%,2,0.24%,1,0.12%,9,1.07%
46,6,627,542,86.44%,73,11.64%,3,0.48%,5,0.80%,0,0%,4,0.64%
46,7,697,581,83.36%,108,15.49%,2,0.29%,5,0.72%,0,0%,1,0.14%
46,8,483,427,88.41%,48,9.94%,3,0.62%,3,0.62%,0,0%,2,0.41%
46,9,678,617,91.00%,44,6.49%,4,0.59%,5,0.74%,0,0%,8,1.18%
46,10,"1,117",984,88.09%,108,9.67%,10,0.90%,0,0%,0,0%,15,1.34%
46,11,686,521,75.95%,154,22.45%,2,0.29%,4,0.58%,0,0%,5,0.73%
46,12,654,593,90.67%,49,7.49%,3,0.46%,1,0.15%,0,0%,8,1.22%
46,13,661,585,88.50%,69,10.44%,1,0.15%,0,0%,0,0%,6,0.91%
46,14,786,682,86.77%,99,12.60%,1,0.13%,1,0.13%,0,0%,3,0.38%
46,15,675,586,86.81%,82,12.15%,1,0.15%,0,0%,0,0%,6,0.89%
46,16,677,609,89.96%,44,6.50%,6,0.89%,6,0.89%,2,0.30%,10,1.48%
46,17,732,607,82.92%,112,15.30%,6,0.82%,0,0%,0,0%,7,0.96%
46,18,776,636,81.96%,126,16.24%,5,0.64%,4,0.52%,0,0%,5,0.64%
46,19,462,379,82.03%,76,16.45%,0,0%,1,0.22%,1,0.22%,5,1.08%
46,20,551,494,89.66%,50,9.07%,3,0.54%,0,0%,0,0%,4,0.73%
46,21,510,400,78.43%,103,20.20%,3,0.59%,1,0.20%,0,0%,3,0.59%
46,22,491,435,88.59%,43,8.76%,4,0.81%,4,0.81%,2,0.41%,3,0.61%
46,23,564,516,91.49%,43,7.62%,4,0.71%,0,0%,0,0%,1,0.18%
46,24,842,721,85.63%,110,13.06%,4,0.48%,1,0.12%,1,0.12%,5,0.59%
46,25,573,522,91.10%,45,7.85%,2,0.35%,2,0.35%,0,0%,2,0.35%
46,26,916,826,90.17%,76,8.30%,8,0.87%,2,0.22%,0,0%,4,0.44%
46,27,828,729,88.04%,75,9.06%,7,0.85%,6,0.72%,1,0.12%,10,1.21%
46,28,580,491,84.66%,82,14.14%,1,0.17%,0,0%,1,0.17%,5,0.86%
46,29,512,430,83.98%,75,14.65%,0,0%,1,0.20%,1,0.20%,5,0.98%
46,30,721,625,86.69%,84,11.65%,5,0.69%,3,0.42%,2,0.28%,2,0.28%
46,31,675,618,91.56%,46,6.81%,4,0.59%,2,0.30%,1,0.15%,4,0.59%
46,32,677,569,84.05%,94,13.88%,5,0.74%,0,0%,1,0.15%,8,1.18%
46,33,691,610,88.28%,73,10.56%,3,0.43%,4,0.58%,0,0%,1,0.14%
46,34,786,707,89.95%,65,8.27%,1,0.13%,2,0.25%,2,0.25%,9,1.15%
46,35,715,636,88.95%,72,10.07%,1,0.14%,1,0.14%,1,0.14%,4,0.56%
46,36,633,519,81.99%,103,16.27%,2,0.32%,1,0.16%,0,0%,8,1.26%
46,37,575,490,85.22%,80,13.91%,1,0.17%,2,0.35%,0,0%,2,0.35%
46,38,785,705,89.81%,64,8.15%,3,0.38%,1,0.13%,0,0%,12,1.53%
46,39,653,535,81.93%,108,16.54%,1,0.15%,2,0.31%,0,0%,7,1.07%
46,40,511,445,87.08%,55,10.76%,4,0.78%,1,0.20%,0,0%,6,1.17%
47,1,499,424,84.97%,67,13.43%,2,0.40%,1,0.20%,1,0.20%,4,0.80%
47,2,708,603,85.17%,90,12.71%,5,0.71%,1,0.14%,1,0.14%,8,1.13%
47,3,680,564,82.94%,100,14.71%,6,0.88%,0,0%,2,0.29%,8,1.18%
47,4,848,733,86.44%,104,12.26%,3,0.35%,1,0.12%,0,0%,7,0.83%
47,5,761,677,88.96%,68,8.94%,3,0.39%,4,0.53%,0,0%,9,1.18%
47,6,878,779,88.72%,82,9.34%,4,0.46%,2,0.23%,0,0%,11,1.25%
47,7,677,564,83.31%,101,14.92%,3,0.44%,1,0.15%,0,0%,8,1.18%
47,8,706,614,86.97%,74,10.48%,3,0.42%,1,0.14%,0,0%,14,1.98%
47,9,710,598,84.23%,90,12.68%,4,0.56%,3,0.42%,1,0.14%,14,1.97%
47,10,847,760,89.73%,67,7.91%,6,0.71%,1,0.12%,0,0%,13,1.53%
47,11,762,652,85.56%,103,13.52%,1,0.13%,0,0%,0,0%,6,0.79%
47,12,779,694,89.09%,60,7.70%,5,0.64%,3,0.39%,0,0%,17,2.18%
47,13,691,606,87.70%,68,9.84%,7,1.01%,0,0%,2,0.29%,8,1.16%
47,14,657,569,86.61%,79,12.02%,2,0.30%,0,0%,0,0%,7,1.07%
47,15,842,779,92.52%,47,5.58%,5,0.59%,4,0.48%,1,0.12%,6,0.71%
47,16,707,592,83.73%,101,14.29%,5,0.71%,3,0.42%,2,0.28%,4,0.57%
47,17,732,603,82.38%,113,15.44%,5,0.68%,1,0.14%,2,0.27%,8,1.09%
47,18,711,607,85.37%,86,12.10%,6,0.84%,0,0%,2,0.28%,10,1.41%
47,19,"1,090",1009,92.57%,62,5.69%,9,0.83%,2,0.18%,0,0%,8,0.73%
47,20,729,649,89.03%,63,8.64%,6,0.82%,0,0%,0,0%,11,1.51%
47,21,675,585,86.67%,71,10.52%,7,1.04%,7,1.04%,1,0.15%,4,0.59%
47,22,758,660,87.07%,79,10.42%,7,0.92%,2,0.26%,1,0.13%,9,1.19%
47,23,782,716,91.56%,54,6.91%,4,0.51%,2,0.26%,0,0%,6,0.77%
47,24,776,694,89.43%,65,8.38%,7,0.90%,3,0.39%,0,0%,7,0.90%
47,25,882,783,88.78%,82,9.30%,7,0.79%,0,0%,0,0%,10,1.13%
47,26,943,874,92.68%,58,6.15%,1,0.11%,3,0.32%,2,0.21%,5,0.53%
47,27,626,546,87.22%,63,10.06%,5,0.80%,0,0%,0,0%,12,1.92%
47,28,657,578,87.98%,66,10.05%,3,0.46%,4,0.61%,0,0%,6,0.91%
47,29,809,694,85.78%,98,12.11%,2,0.25%,1,0.12%,2,0.25%,12,1.48%
47,30,857,786,91.72%,58,6.77%,2,0.23%,5,0.58%,1,0.12%,5,0.58%
47,31,741,655,88.39%,68,9.18%,13,1.75%,1,0.13%,0,0%,4,0.54%
47,32,824,758,91.99%,50,6.07%,5,0.61%,3,0.36%,0,0%,8,0.97%
47,33,723,619,85.62%,87,12.03%,2,0.28%,2,0.28%,1,0.14%,12,1.66%
47,34,718,635,88.44%,67,9.33%,7,0.97%,3,0.42%,0,0%,6,0.84%
47,35,718,601,83.70%,103,14.35%,2,0.28%,0,0%,0,0%,12,1.67%
47,36,790,717,90.76%,62,7.85%,0,0%,2,0.25%,0,0%,9,1.14%
47,37,677,594,87.74%,66,9.75%,6,0.89%,3,0.44%,0,0%,8,1.18%
47,38,719,639,88.87%,68,9.46%,4,0.56%,2,0.28%,0,0%,6,0.83%
47,39,699,617,88.27%,70,10.01%,6,0.86%,1,0.14%,3,0.43%,2,0.29%
47,40,673,614,91.23%,50,7.43%,3,0.45%,1,0.15%,0,0%,5,0.74%
47,41,772,694,89.90%,69,8.94%,4,0.52%,2,0.26%,1,0.13%,2,0.26%
47,42,665,599,90.08%,51,7.67%,7,1.05%,4,0.60%,0,0%,4,0.60%
47,43,660,550,83.33%,91,13.79%,7,1.06%,1,0.15%,2,0.30%,9,1.36%
47,44,718,592,82.45%,115,16.02%,1,0.14%,1,0.14%,0,0%,9,1.25%
47,45,636,583,91.67%,43,6.76%,3,0.47%,0,0%,3,0.47%,4,0.63%
47,46,759,620,81.69%,125,16.47%,4,0.53%,0,0%,2,0.26%,8,1.05%
47,47,870,761,87.47%,94,10.80%,4,0.46%,2,0.23%,3,0.34%,6,0.69%
47,48,59,38,64.41%,20,33.90%,0,0%,0,0%,0,0%,1,1.69%
